Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
63,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.16331738437001597,0.6466550377397472,0.13181498648217965,0.00016475724383475704
63,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.1620414673046252,0.38317709161573044,0.13181498648217965,0.000879155320777451
63,0.0,32,0.01,0.7333333333333333,5.0,0.1636363636363637,0.2707548725606357,0.13181498648217965,0.0
95,0.0,32,0.01,0.7333333333333333,1.0,0.1559808612440191,2.6539345687664406,0.13181498648217965,0.010496530359266244
95,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.15661881977671455,0.8094686455454382,0.13181498648217965,0.013355995486803779
95,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.1496012759170654,0.4792809179355021,0.13181498648217965,0.021927551172880352
95,0.0,32,0.01,0.7333333333333333,5.0,0.16299840510366825,0.3386302422943235,0.13181498648217965,0.0021656053130250587
128,0.0,32,0.01,0.7333333333333333,1.0,0.15023923444976073,3.142251176174475,0.13181498648217965,0.01972282769905875
128,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.14641148325358855,0.9531464113349591,0.13181498648217965,0.026609655620123303
128,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.1457735247208931,0.5638944978336531,0.13181498648217965,0.02905966376311999
128,0.0,32,0.01,0.7333333333333333,5.0,0.1496012759170654,0.39833649422796635,0.13181498648217965,0.02477947966900977
30,0.0,32,0.01,1.3666666666666667,1.0,0.1636363636363637,1.395005728087353,0.13181498648217965,0.0
30,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.16427432216905902,0.4314595555050427,0.13181498648217965,0.00015184488209254036
30,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.1636363636363637,0.2558052681764029,0.13181498648217965,0.0
30,0.0,32,0.01,1.3666666666666667,5.0,0.1636363636363637,0.1807069593821481,0.13181498648217965,0.0
63,0.0,32,0.01,1.3666666666666667,1.0,0.1476874003189793,2.1070501409453377,0.13181498648217965,0.018031789476037237
63,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.15534290271132378,0.6466550377397472,0.13181498648217965,0.009550696809701447
63,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.14609250398724083,0.38317709161573044,0.13181498648217965,0.021337741158383126
63,0.0,32,0.01,1.3666666666666667,5.0,0.15821371610845292,0.2707548725606357,0.13181498648217965,0.0053466492938452105
95,0.0,32,0.01,1.3666666666666667,1.0,0.14449760765550235,2.6539345687664406,0.13181498648217965,0.03587926322247571
95,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.1457735247208931,0.8094686455454382,0.13181498648217965,0.026172507966091725
95,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.14641148325358855,0.4792809179355021,0.13181498648217965,0.027914293905733085
95,0.0,32,0.01,1.3666666666666667,5.0,0.14704944178628387,0.3386302422943235,0.13181498648217965,0.04255546436146297
128,0.0,32,0.01,1.3666666666666667,1.0,0.14513556618819778,3.142251176174475,0.13181498648217965,0.0404035679433028
128,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.1476874003189793,0.9531464113349591,0.13181498648217965,0.031778165995088446
128,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.14385964912280702,0.5638944978336531,0.13181498648217965,0.05059562395129456
128,0.0,32,0.01,1.3666666666666667,5.0,0.1496012759170654,0.39833649422796635,0.13181498648217965,0.037928343105930296
30,0.0,32,0.01,2.0,1.0,0.15279106858054226,1.395005728087353,0.13181498648217965,0.011317772728871058
30,0.0,32,0.01,2.0,2.333333333333333,0.15023923444976073,0.4314595555050427,0.13181498648217965,0.019598672270975663
30,0.0,32,0.01,2.0,3.6666666666666665,0.1476874003189793,0.2558052681764029,0.13181498648217965,0.023677358213965702
30,0.0,32,0.01,2.0,5.0,0.15502392344497606,0.1807069593821481,0.13181498648217965,0.01782246642941152
63,0.0,32,0.01,2.0,1.0,0.1435406698564593,2.1070501409453377,0.13181498648217965,0.037940689452438066
