Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
30,0.0,32,0.01,1.3666666666666667,1.0,0.17463404647353875,0.7469186303720139,0.1793872207671221,0.08468821988717523
30,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.1823113931825161,0.2322663606463094,0.1793872207671221,0.0461248529117602
30,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.19889446207390726,0.13759848022257684,0.1793872207671221,0.05128198024674199
30,0.0,32,0.01,1.3666666666666667,5.0,0.20145357764356642,0.09708006680802381,0.1793872207671221,0.047678564888335016
63,0.0,32,0.01,1.3666666666666667,1.0,0.17576005732418876,1.121954401612854,0.1793872207671221,0.09077004273893564
63,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.1889650936636299,0.3479269078496843,0.1793872207671221,0.0631455330721979
63,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.18046882997236158,0.20626494064071954,0.1793872207671221,0.10061896797350206
63,0.0,32,0.01,1.3666666666666667,5.0,0.19889446207390726,0.1456623940874506,0.1793872207671221,0.028858642214723944
95,0.0,32,0.01,1.3666666666666667,1.0,0.1798546422356434,1.4071629267201915,0.1793872207671221,0.06808168761979534
95,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.18865799979527076,0.43516547808691963,0.1793872207671221,0.061630794196670474
95,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.17862626676220694,0.25800193692585094,0.1793872207671221,0.05521107925438353
95,0.0,32,0.01,1.3666666666666667,5.0,0.19469751253966627,0.1822606549042463,0.1793872207671221,0.035069592810918475
128,0.0,32,0.01,1.3666666666666667,1.0,0.17647660968369328,1.659886662207223,0.1793872207671221,0.06596793687672386
128,0.0,32,0.01,1.3666666666666667,2.333333333333333,0.17576005732418876,0.5119511814124572,0.1793872207671221,0.0749289327850178
128,0.0,32,0.01,1.3666666666666667,3.6666666666666665,0.20002047292455727,0.30349207643104265,0.1793872207671221,0.037501232583015055
128,0.0,32,0.01,1.3666666666666667,5.0,0.19643771112703445,0.214430532790064,0.1793872207671221,0.04217237004349023
30,0.0,32,0.01,2.0,1.0,0.17934281912171157,0.7469186303720139,0.1793872207671221,0.059302174886860626
30,0.0,32,0.01,2.0,2.333333333333333,0.18968164602313442,0.2322663606463094,0.1793872207671221,0.08490036503239463
30,0.0,32,0.01,2.0,3.6666666666666665,0.18814617668133893,0.13759848022257684,0.1793872207671221,0.04842788145040039
30,0.0,32,0.01,2.0,5.0,0.18937455215477528,0.09708006680802381,0.1793872207671221,0.042093907330417714
63,0.0,32,0.01,2.0,1.0,0.17657897430647973,1.121954401612854,0.1793872207671221,0.07488775277342918
63,0.0,32,0.01,2.0,2.333333333333333,0.1853823318661071,0.3479269078496843,0.1793872207671221,0.0455804033856825
63,0.0,32,0.01,2.0,3.6666666666666665,0.19224076159279357,0.20626494064071954,0.1793872207671221,0.08747606441173625
63,0.0,32,0.01,2.0,5.0,0.18906745828641625,0.1456623940874506,0.1793872207671221,0.063024716458951
95,0.0,32,0.01,2.0,1.0,0.17371276486846143,1.4071629267201915,0.1793872207671221,0.062278780696012635
95,0.0,32,0.01,2.0,2.333333333333333,0.18466577950660257,0.43516547808691963,0.1793872207671221,0.06514626182223193
95,0.0,32,0.01,2.0,3.6666666666666665,0.19756372197768446,0.25800193692585094,0.1793872207671221,0.07180202228134447
95,0.0,32,0.01,2.0,5.0,0.19531170027638445,0.1822606549042463,0.1793872207671221,0.04997210840720223
128,0.0,32,0.01,2.0,1.0,0.17391749411403423,1.659886662207223,0.1793872207671221,0.0805949173441569
128,0.0,32,0.01,2.0,2.333333333333333,0.1851776026205344,0.5119511814124572,0.1793872207671221,0.056473666861688684
128,0.0,32,0.01,2.0,3.6666666666666665,0.18333503941037976,0.30349207643104265,0.1793872207671221,0.0480008677384426
128,0.0,32,0.01,2.0,5.0,0.1992015559422664,0.214430532790064,0.1793872207671221,0.0369901684483165
30,0.3333333333333333,32,0.01,0.1,1.0,0.1787286313849934,0.7469186303720139,0.1793872207671221,0.059051714018201834
30,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.18149247620022524,0.2322663606463094,0.1793872207671221,0.04871121119946058
30,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.18087828846350706,0.13759848022257684,0.1793872207671221,0.0608013245219691
30,0.3333333333333333,32,0.01,0.1,5.0,0.18865799979527076,0.09708006680802381,0.1793872207671221,0.045406714830532754
63,0.3333333333333333,32,0.01,0.1,1.0,0.1747364110963251,1.121954401612854,0.1793872207671221,0.08247431296996628
63,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.19019346913706625,0.3479269078496843,0.1793872207671221,0.07271943968889134
63,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.19531170027638445,0.20626494064071954,0.1793872207671221,0.04336311566934658
63,0.3333333333333333,32,0.01,0.1,5.0,0.1807759238407206,0.1456623940874506,0.1793872207671221,0.0649681594459997
95,0.3333333333333333,32,0.01,0.1,1.0,0.1754529634558296,1.4071629267201915,0.1793872207671221,0.06155233148359797
95,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.18620124884839795,0.43516547808691963,0.1793872207671221,0.04766907986856204
95,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.18190193469137061,0.25800193692585094,0.1793872207671221,0.08478344572925245
95,0.3333333333333333,32,0.01,0.1,5.0,0.1925478554611526,0.1822606549042463,0.1793872207671221,0.10911515095737656
128,0.3333333333333333,32,0.01,0.1,1.0,0.17862626676220694,1.659886662207223,0.1793872207671221,0.08619854494162016
128,0.3333333333333333,32,0.01,0.1,2.333333333333333,0.19050056300542528,0.5119511814124572,0.1793872207671221,0.03863741586740506
128,0.3333333333333333,32,0.01,0.1,3.6666666666666665,0.1936738663118026,0.30349207643104265,0.1793872207671221,0.06300081608734481
128,0.3333333333333333,32,0.01,0.1,5.0,0.1811853823318661,0.214430532790064,0.1793872207671221,0.046054184818897156
30,0.3333333333333333,32,0.01,0.7333333333333333,1.0,0.18487050875217526,0.7469186303720139,0.1793872207671221,0.05296820076687793
30,0.3333333333333333,32,0.01,0.7333333333333333,2.333333333333333,0.18026410072678878,0.2322663606463094,0.1793872207671221,0.07348603589093917
30,0.3333333333333333,32,0.01,0.7333333333333333,3.6666666666666665,0.18886272904084345,0.13759848022257684,0.1793872207671221,0.05997744255693595
30,0.3333333333333333,32,0.01,0.7333333333333333,5.0,0.19500460640802542,0.09708006680802381,0.1793872207671221,0.032621847287425204
63,0.3333333333333333,32,0.01,0.7333333333333333,1.0,0.17688606817483876,1.121954401612854,0.1793872207671221,0.07094475492493217
63,0.3333333333333333,32,0.01,0.7333333333333333,2.333333333333333,0.18374449790152525,0.3479269078496843,0.1793872207671221,0.05656940921474367
63,0.3333333333333333,32,0.01,0.7333333333333333,3.6666666666666665,0.18302794554202073,0.20626494064071954,0.1793872207671221,0.049466631982171924
63,0.3333333333333333,32,0.01,0.7333333333333333,5.0,0.18968164602313442,0.1456623940874506,0.1793872207671221,0.08176396950894832
95,0.3333333333333333,32,0.01,0.7333333333333333,1.0,0.17709079742041156,1.4071629267201915,0.1793872207671221,0.07319711843221074
95,0.3333333333333333,32,0.01,0.7333333333333333,2.333333333333333,0.1771931620431979,0.43516547808691963,0.1793872207671221,0.06538399773862102
95,0.3333333333333333,32,0.01,0.7333333333333333,3.6666666666666665,0.1823113931825161,0.25800193692585094,0.1793872207671221,0.04725272506496299
95,0.3333333333333333,32,0.01,0.7333333333333333,5.0,0.1956187941447436,0.1822606549042463,0.1793872207671221,0.0675484135130541
128,0.3333333333333333,32,0.01,0.7333333333333333,1.0,0.17821680827106157,1.659886662207223,0.1793872207671221,0.07601003721696373
128,0.3333333333333333,32,0.01,0.7333333333333333,2.333333333333333,0.18374449790152525,0.5119511814124572,0.1793872207671221,0.050331177447815956
128,0.3333333333333333,32,0.01,0.7333333333333333,3.6666666666666665,0.18353976865595245,0.30349207643104265,0.1793872207671221,0.051201827134105975
128,0.3333333333333333,32,0.01,0.7333333333333333,5.0,0.1836421332787389,0.214430532790064,0.1793872207671221,0.05276671453001727
30,0.3333333333333333,32,0.01,1.3666666666666667,1.0,0.18046882997236158,0.7469186303720139,0.1793872207671221,0.050364562839195104
30,0.3333333333333333,32,0.01,1.3666666666666667,2.333333333333333,0.1872248950762616,0.2322663606463094,0.1793872207671221,0.05771507751890664
30,0.3333333333333333,32,0.01,1.3666666666666667,3.6666666666666665,0.19500460640802542,0.13759848022257684,0.1793872207671221,0.03412268732209718
30,0.3333333333333333,32,0.01,1.3666666666666667,5.0,0.20022520217012996,0.09708006680802381,0.1793872207671221,0.03736313632978569
63,0.3333333333333333,32,0.01,1.3666666666666667,1.0,0.17903572525335243,1.121954401612854,0.1793872207671221,0.04743082744119522
63,0.3333333333333333,32,0.01,1.3666666666666667,2.333333333333333,0.18046882997236158,0.3479269078496843,0.1793872207671221,0.048197940154220784
63,0.3333333333333333,32,0.01,1.3666666666666667,3.6666666666666665,0.1834374040331661,0.20626494064071954,0.1793872207671221,0.07417130509176521
63,0.3333333333333333,32,0.01,1.3666666666666667,5.0,0.1940833248029481,0.1456623940874506,0.1793872207671221,0.03761477108703023
95,0.3333333333333333,32,0.01,1.3666666666666667,1.0,0.17821680827106157,1.4071629267201915,0.1793872207671221,0.04799645391736013
95,0.3333333333333333,32,0.01,1.3666666666666667,2.333333333333333,0.18179957006858427,0.43516547808691963,0.1793872207671221,0.047387957030043094
95,0.3333333333333333,32,0.01,1.3666666666666667,3.6666666666666665,0.19316204319787078,0.25800193692585094,0.1793872207671221,0.0408663955140552
95,0.3333333333333333,32,0.01,1.3666666666666667,5.0,0.1891698229092026,0.1822606549042463,0.1793872207671221,0.04938427195899467
128,0.3333333333333333,32,0.01,1.3666666666666667,1.0,0.1720749309038796,1.659886662207223,0.1793872207671221,0.06997108477635544
128,0.3333333333333333,32,0.01,1.3666666666666667,2.333333333333333,0.17944518374449792,0.5119511814124572,0.1793872207671221,0.06229216302589034
