Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
97,0.7505968090600365,55,0.011590088080978868,1.3028060012304241,2.6770417740998234,0.1457735247208931,0.936101073030717,0.13181498648217965,0.020917644710136844
102,0.977202292145767,47,0.03888884276357624,1.1970340597901752,2.1603840976711752,0.1435406698564593,1.1406153640167556,0.13181498648217965,0.04712918275398312
55,0.9871174226467015,29,0.06914446818855652,0.408206665811055,1.96256182796831,0.14417862838915474,0.7019552931024208,0.13181498648217965,0.04024345055587561
87,0.7616282679774751,55,0.07080989670284435,1.8127279310500162,3.3778525472950203,0.15438596491228074,0.6739559865016639,0.13181498648217965,0.024816774139576947
42,0.7550502564139533,51,0.014040918337204313,0.7673684152310561,4.4470275648753095,0.1636363636363637,0.3195527330877632,0.13181498648217965,0.0
53,0.35335269168920824,28,0.030761400585638476,1.1657737738515093,1.1322362574883948,0.14417862838915474,1.4429436363065868,0.13181498648217965,0.05059576715566537
61,0.837566767719206,48,0.013662506945257238,1.3665153300202726,1.2945222819003335,0.15311004784688997,1.7107086922048098,0.13181498648217965,0.01421391138102502
40,0.903419441116852,60,0.04745356004145003,1.4100042145412173,1.7295612880161797,0.14417862838915474,1.031099602682221,0.13181498648217965,0.039192287847202426
94,0.6588797808398968,44,0.06416972701429775,0.17256030971230632,2.417997715271241,0.16299840510366825,0.9183758871370481,0.13181498648217965,0.0010747550954557908
100,0.9948678278977873,46,0.006815710678340439,1.5155927598359316,3.0092269015475757,0.14449760765550235,0.7525680068368253,0.13181498648217965,0.026241084578666835
119,0.25832348534812777,51,0.02195720029352543,1.5648965567574988,2.136456887817254,0.14098883572567789,1.3199298059575533,0.13181498648217965,0.04245241982366236
42,0.41774878116122227,43,0.025893398658697695,1.9750116981992882,3.0604273673097975,0.14704944178628387,0.44315403908106654,0.13181498648217965,0.04609874504786721
76,0.21566652133456032,28,0.018338258532226648,1.2137978985543783,2.3344913800310443,0.15023923444976073,0.6656412934484028,0.13181498648217965,0.029024451510503486
99,0.9031921999119861,36,0.06613020381772643,1.3059957916897944,2.0471963322746447,0.15534290271132378,1.0346011088132927,0.13181498648217965,0.012484914418953687
51,0.5794211564525361,26,0.006029658189435819,0.11404768656094509,3.2002903283846695,0.1636363636363637,0.3561860918959743,0.13181498648217965,0.0
85,0.8854761277974657,18,0.06508174732430957,1.340221476834499,1.0194060708374457,0.1432216905901117,1.746697119706327,0.13181498648217965,0.04441413257514265
56,0.8831243397489545,23,0.015147831154108986,1.7581664855619386,3.358298771022982,0.15725677830940987,0.33146306254254176,0.13181498648217965,0.04412243757902628
106,0.07445389511092959,51,0.08102565600222693,1.390976337139685,4.91592784995359,0.1661881977671451,0.47318412369908697,0.13181498648217965,0.011582610423643188
127,0.5152305523921925,51,0.0705293102157902,1.1255106703252764,2.205998836455942,0.15406698564593302,1.3155382468054364,0.13181498648217965,0.028224934453738772
