Noise Multiplier,Delta,Classification error,Privacy budget,Fairness before (Risk difference),Fairness after (Risk difference)
4.03,1e-05,0.15005220809532582,N/A,0.19097982982080125,0.1759901895737978
4.03,1e-05,0.14974510165223265,N/A,0.19097982982080125,0.18354236287977693
4.03,1e-05,0.15023647196118173,N/A,0.19097982982080125,0.18132508018234794
4.03,1e-05,0.14900804618880903,N/A,0.19097982982080125,0.18060249632847908
4.03,1e-05,0.15048215711565627,N/A,0.19097982982080125,0.17452147928915684
4.03,1e-05,0.15134205515631716,N/A,0.19097982982080125,0.1752550700620974
4.03,1e-05,0.14888520361157176,N/A,0.19097982982080125,0.18032227851378058
4.03,1e-05,0.14906946747742766,N/A,0.19097982982080125,0.183086849687271
4.03,1e-05,0.14814814814814814,N/A,0.19097982982080125,0.18547514729397951
