Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
100,1,20,0.001,2,1.07,0.20176067151192545,0.996536632297144,0.1995947591348292,0.031682558962411955
100,1,20,0.001,2,1.07,0.20176067151192545,0.996536632297144,0.1995947591348292,0.031864667651880896
100,1,20,0.001,2,1.07,0.2016583068891391,0.996536632297144,0.1995947591348292,0.032180523621558724
100,1,20,0.001,2,1.07,0.20196540075749825,0.996536632297144,0.1995947591348292,0.0329813809052701
100,1,20,0.001,2,1.07,0.2020677653802846,0.996536632297144,0.1995947591348292,0.03359950764162885
100,1,20,0.001,2,0.48,0.19797318046882995,9.804744494042827,0.1995947591348292,0.034179988058415225
100,1,20,0.001,2,0.48,0.19715426348653908,9.804744494042827,0.1995947591348292,0.03527900227973099
100,1,20,0.001,2,0.48,0.19715426348653908,9.804744494042827,0.1995947591348292,0.0339030221240771
100,1,20,0.001,2,0.48,0.1976660866004709,9.804744494042827,0.1995947591348292,0.03356946712232585
100,1,20,0.001,2,0.48,0.19817790971440274,9.804744494042827,0.1995947591348292,0.03403265557520946
100,1,20,0.001,2,0.48,0.19756372197768446,9.804744494042827,0.1995947591348292,0.03392894881430357
100,1,20,0.001,2,0.48,0.19715426348653908,9.804744494042827,0.1995947591348292,0.03342687032608027
100,1,20,0.001,2,0.48,0.19797318046882995,9.804744494042827,0.1995947591348292,0.03418821571656827
100,1,20,0.001,2,0.48,0.19797318046882995,9.804744494042827,0.1995947591348292,0.03404973274939922
100,1,20,0.001,2,0.48,0.19725662810932543,9.804744494042827,0.1995947591348292,0.03448699451205635
100,1,20,0.001,2,0.48,0.1978708158460436,9.804744494042827,0.1995947591348292,0.0351964865220914
100,1,20,0.001,2,0.48,0.19776845122325726,9.804744494042827,0.1995947591348292,0.033651982879965445
100,1,20,0.001,2,0.48,0.19715426348653908,9.804744494042827,0.1995947591348292,0.03400672888498299
100,1,20,0.001,2,0.48,0.19756372197768446,9.804744494042827,0.1995947591348292,0.033375016945627334
100,1,20,0.001,2,0.48,0.19725662810932543,9.804744494042827,0.1995947591348292,0.033993765539869755
100,1,20,0.001,2,0.48,0.1978708158460436,9.804744494042827,0.1995947591348292,0.03530904279903399
100,1,20,0.001,2,0.48,0.19797318046882995,9.804744494042827,0.1995947591348292,0.032708528800008504
100,1,20,0.001,2,0.48,0.19848500358276178,9.804744494042827,0.1995947591348292,0.03271264262908502
100,1,20,0.001,2,0.48,0.1976660866004709,9.804744494042827,0.1995947591348292,0.03461662796318869
100,1,20,0.001,2,0.48,0.19705189886375274,9.804744494042827,0.1995947591348292,0.031795737097238194
